"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TileSelectPanel\NewTileArrow.cs", "C#", 61, 9, 32, 102
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TileSelectPanel\ScrollTouchInput.cs", "C#", 48, 8, 27, 83
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TileSelectPanel\TileSelectPanelScroll.cs", "C#", 81, 18, 48, 147
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\ToolTipArrow.cs", "C#", 26, 4, 9, 39
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\ToolTipFormatting.cs", "C#", 36, 87, 24, 147
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\ToolTipManager.cs", "C#", 91, 32, 53, 176
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\ToolTipSizing.cs", "C#", 4, 0, 7, 11
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\CarbonToolTip.cs", "C#", 17, 0, 3, 20
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\DePollutionToolTip.cs", "C#", 17, 0, 4, 21
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\EmployeesRequiredToolTip.cs", "C#", 17, 0, 3, 20
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\MaxCarbonCaptureToolTip.cs", "C#", 15, 0, 3, 18
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\MoneyToolTip.cs", "C#", 17, 0, 3, 20
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\PeopleHousedToolTip.cs", "C#", 24, 1, 4, 29
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\RoadConnectionsRequiredToolTip.cs", "C#", 16, 3, 5, 24
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\RoadExplanationToolTip.cs", "C#", 11, 1, 3, 15
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\ToolTipLabel.cs", "C#", 14, 2, 3, 19
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\ToolTips\Types of ToolTips\ToolTipType.cs", "C#", 26, 3, 8, 37
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\ClickAndDragTutorialTip.cs", "C#", 37, 6, 13, 56
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\ClickOnTileToSelectTutorialTip.cs", "C#", 30, 15, 10, 55
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\ConnectHousesTutorialTip.cs", "C#", 33, 15, 17, 65
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\ConnectedFactoriesTutorialTip.cs", "C#", 44, 11, 12, 67
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\FadeChildGraphicsToTransparency.cs", "C#", 76, 8, 18, 102
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\GrassUnderBuildingsTutorialTip.cs", "C#", 49, 7, 17, 73
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\MoreAreaAvailableTutorialTip.cs", "C#", 36, 8, 14, 58
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\NewAreaUnlockedTutorialTip.cs", "C#", 38, 8, 11, 57
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\PeopleMakeMoneyTutorialTip.cs", "C#", 27, 7, 19, 53
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\TreesRemoveCarbonTutorialTip.cs", "C#", 35, 7, 13, 55
"c:\Users\grayj\Documents\Unity projects\CCUS Backup Restore\CCUS\CCUS-Unity-restore\Assets\Scripts\UI Scripts\TutorialTips\TutorialTip.cs", "C#", 57, 31, 30, 118
